sample	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
c_ll_ki_0101	10.1086956521739	89.5978260869565	20.8641304347826	10801.2717391304	224.798913043478	-192.478260869565	417.277173913043	148.103260869565	-110.614130434783	148.103260869565	-133.032608695652	580.33152173913	75.4945652173913	24.7989130434783	32.2989130434783	207.641304347826	84.5597826086957	207.641304347826	102.027173913043
c_ll_ki_0102	10.1086956521739	89.5978260869565	20.8641304347826	10801.2717391304	224.798913043478	-192.478260869565	417.277173913043	148.103260869565	-110.614130434783	148.103260869565	-133.032608695652	580.33152173913	75.4945652173913	24.7989130434783	32.2989130434783	207.641304347826	84.5597826086957	207.641304347826	102.027173913043
c_ll_vl_0107	16.6025641025641	96.9615384615385	23.3846153846154	10863.7435897436	210.807692307692	-195.320512820513	406.128205128205	147.948717948718	-130.858974358974	147.974358974359	-132.205128205128	858.282051282051	146.602564102564	17.7435897435897	62.5128205128205	404.923076923077	61.5641025641026	404.641025641026	61.5897435897436
c_ll_vl_0108	12.5703125	99.421875	22.765625	11617.3046875	213.90625	-213.0234375	426.9296875	150.390625	-147.265625	151.0859375	-147.4296875	825.40625	147.9765625	15.3515625	65.359375	395.8515625	54.8828125	393.90625	54.8828125
c_ll_vl_0109	5.875	94.9423076923077	22.8461538461538	10962.3076923077	200.182692307692	-206.221153846154	406.403846153846	138.346153846154	-143.817307692308	138.519230769231	-143.817307692308	912.846153846154	155.288461538462	19.8269230769231	61.0384615384615	426.942307692308	68.0384615384615	425.528846153846	68.0384615384615
c_ll_vl_0110	-7.02173913043478	116.188405797101	20.0507246376812	16073.7246376812	259.507246376812	-307.427536231884	566.934782608696	183.130434782609	-229.594202898551	183.130434782609	-230.557971014493	683.007246376812	150.057971014493	7.1231884057971	87.6594202898551	395.688405797101	27.0797101449275	395.688405797101	27.0797101449275
c_ll_vl_0112	4.99065420560748	93.1401869158879	22.607476635514	10883.0747663551	198.046728971963	-204.915887850467	402.96261682243	137.018691588785	-143.289719626168	137.130841121495	-143.289719626168	927.523364485981	156.271028037383	20.7102803738318	60.0373831775701	430.841121495327	71.0093457943925	429.785046728972	71.0093457943925
c_ll_vl_0113	4.99065420560748	93.1401869158879	22.607476635514	10883.0747663551	198.046728971963	-204.915887850467	402.96261682243	137.018691588785	-143.289719626168	137.130841121495	-143.289719626168	927.523364485981	156.271028037383	20.7102803738318	60.0373831775701	430.841121495327	71.0093457943925	429.785046728972	71.0093457943925
c_ll_vl_0114	-10.8846153846154	87.2846153846154	20.8307692307692	11279.3076923077	183.630769230769	-225.615384615385	409.246153846154	125.646153846154	-163.846153846154	126.015384615385	-163.846153846154	958.553846153846	168.653846153846	19.4538461538462	61.8769230769231	449.1	70.7230769230769	448.315384615385	70.7230769230769
c_ll_vl_0128	5.43956043956044	90.989010989011	22.4285714285714	10696.7802197802	196.186813186813	-200.417582417582	396.604395604396	136.153846153846	-139.879120879121	136.175824175824	-139.879120879121	943.175824175824	155.703296703297	21.8351648351648	58.5054945054945	433.274725274725	74.9010989010989	433.065934065934	74.9010989010989
c_ll_vl_0132	5.43956043956044	90.989010989011	22.4285714285714	10696.7802197802	196.186813186813	-200.417582417582	396.604395604396	136.153846153846	-139.879120879121	136.175824175824	-139.879120879121	943.175824175824	155.703296703297	21.8351648351648	58.5054945054945	433.274725274725	74.9010989010989	433.065934065934	74.9010989010989
c_ll_vl_0137	-54.5918367346939	127.741496598639	20.4285714285714	17067.5442176871	231.802721088435	-376.503401360544	608.30612244898	147.659863945578	-261.353741496599	147.659863945578	-290.721088435374	758.91156462585	169.068027210884	6.29251700680272	89.4285714285714	442.585034013605	27.3469387755102	442.585034013605	27.4761904761905
c_ll_ya_0138	-93.3626373626374	117.098901098901	16.2802197802198	21010.989010989	248.554945054945	-444.368131868132	692.923076923077	160.115384615385	-294.164835164835	160.115384615385	-374.840659340659	346.093406593407	60.2472527472527	8.45054945054945	61.7912087912088	166.961538461538	30.3021978021978	166.961538461538	37.3131868131868
c_ll_ya_0139	-100.491891891892	114.059459459459	16.0162162162162	20787.4054054054	244.005405405405	-437.264864864865	681.27027027027	153.583783783784	-295.67027027027	153.583783783784	-375.454054054054	302.437837837838	50.9405405405405	7.98378378378378	59.9081081081081	144.810810810811	28.2	144.810810810811	35.0162162162162
c_ll_ya_0140	-100.342391304348	113.967391304348	16.0163043478261	20760.9239130435	243.79347826087	-436.744565217391	680.538043478261	153.440217391304	-294.603260869565	153.440217391304	-374.95652173913	303.728260869565	51.1847826086956	8.03260869565217	59.9347826086956	145.445652173913	28.3369565217391	145.445652173913	35.1684782608696
c_ll_ya_0141	-162.213675213675	118.508547008547	16.7735042735043	21413.3931623932	195.388888888889	-489.205128205128	684.594017094017	103.730769230769	-392.286324786325	103.730769230769	-435.273504273504	244.179487179487	49.6923076923077	5.9957264957265	74.9871794871795	136.935897435897	19.3162393162393	136.935897435897	21.8974358974359
c_ll_ya_0142	-162.213675213675	118.508547008547	16.7735042735043	21413.3931623932	195.388888888889	-489.205128205128	684.594017094017	103.730769230769	-392.286324786325	103.730769230769	-435.273504273504	244.179487179487	49.6923076923077	5.9957264957265	74.9871794871795	136.935897435897	19.3162393162393	136.935897435897	21.8974358974359
c_ll_ya_0143	-162.213675213675	118.508547008547	16.7735042735043	21413.3931623932	195.388888888889	-489.205128205128	684.594017094017	103.730769230769	-392.286324786325	103.730769230769	-435.273504273504	244.179487179487	49.6923076923077	5.9957264957265	74.9871794871795	136.935897435897	19.3162393162393	136.935897435897	21.8974358974359
c_ll_ya_0145	-103.520618556701	114.721649484536	16	21237.6443298969	247.577319587629	-445.128865979381	692.70618556701	155.845360824742	-313.80412371134	155.845360824742	-383.953608247423	272.644329896907	45.6237113402062	6.81443298969072	60.3969072164948	131.546391752577	24.7783505154639	131.546391752577	30.9587628865979
c_ll_ya_0146	-100.127659574468	116.686170212766	16.0691489361702	21151.7021276596	247.31914893617	-446.755319148936	694.074468085106	156.771276595745	-305	156.771276595745	-381.340425531915	316.335106382979	53.6914893617021	8.04787234042553	60.8776595744681	152.38829787234	28.6329787234043	152.38829787234	35.468085106383
c_ll_ya_0147	-96.6417112299465	108.737967914438	16.2032085561497	19637.0213903743	233.347593582888	-414.262032085561	647.609625668449	145.459893048128	-241.705882352941	145.459893048128	-355.363636363636	346.44385026738	59.4973262032086	9.34224598930481	60.9465240641711	167.791443850267	32.5561497326203	167.791443850267	39.8823529411765
c_ll_tu_0153	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0154	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0157	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0158	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0159	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0165	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_tu_0166	-69.3687943262411	140.070921985816	23.822695035461	16235.4893617021	205.007092198582	-370.127659574468	575.13475177305	121.475177304965	-265.255319148936	121.475177304965	-292.659574468085	385.595744680851	95.0212765957447	4.9290780141844	85.6737588652482	224.900709219858	21.3758865248227	224.900709219858	22.4326241134752
c_ll_og_0181	51.44	144.104	29.72	12072.128	281.76	-195.216	476.976	201.56	-89.2	201.56	-109.184	78.896	25.8	0.024	116.832	58.424	1.584	58.424	1.584
c_ll_ka_0184	-40.6043165467626	135.611510791367	25.0575539568345	14732.381294964	213.647482014388	-317.741007194245	531.388489208633	139.021582733813	-235.230215827338	139.021582733813	-241.071942446043	362.755395683453	105.892086330935	2.66906474820144	114.187050359712	259.402877697842	8.88489208633094	259.402877697842	8.89208633093525
c_ll_ka_0186	-37.705035971223	133.748201438849	24.7985611510791	14691.1151079137	214.654676258993	-315	529.654676258993	141.064748201439	-226.971223021583	141.064748201439	-238.36690647482	347.309352517986	101.086330935252	2.53237410071942	114.532374100719	249.287769784173	8.43884892086331	249.287769784173	8.44604316546763
